table_name,project_id,dataset_id,table_id,purpose,key_columns,use_cases,notes,column_count,sample_columns,column_types,is_active,priority,last_updated,reviewed_by,sql_examples,business_context,data_quality_notes
fanbase-reporting.analytics_396059295.events_20241024,fanbase-reporting,analytics_396059295,events_20241024,"This table stores events data related to user interactions with a fanbase platform, including details such as event timestamps, event names, event parameters, user IDs, and monetary values associated with events.","event_date, event_timestamp, event_name, user_id","Analyzing user engagement with the fanbase platform, Tracking user behavior and interactions, Calculating revenue generated from events",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241025,fanbase-reporting,analytics_396059295,events_20241025,This table stores events data related to user interactions with a platform or application for analytics and reporting purposes.,"event_date, event_timestamp, event_name, user_id","Analyzing user behavior, Tracking user engagement, Measuring event values in USD",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241026,fanbase-reporting,analytics_396059295,events_20241026,This table stores events data related to user interactions with a platform or application for reporting and analytics purposes.,"event_date, event_timestamp, event_name, user_id","Analyzing user behavior and engagement based on different events, Calculating event values in USD for revenue analysis, Tracking event sequences and timestamps for user journey analysis",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241027,fanbase-reporting,analytics_396059295,events_20241027,"This table stores events data related to user interactions with a fanbase platform, including event details and user identifiers.","event_date, event_timestamp, event_name, user_id","Analyzing user engagement by tracking event occurrences and timestamps, Calculating event values in USD to measure monetary impact, Identifying user interactions and behavior patterns using user identifiers",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241028,fanbase-reporting,analytics_396059295,events_20241028,This table stores events data related to user interactions with a platform or application for reporting and analytics purposes.,"event_date, event_timestamp, event_name, user_id","Analyzing user behavior and engagement based on different events, Calculating event values in USD for revenue analysis, Tracking event sequences and timestamps for user journey analysis",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241029,fanbase-reporting,analytics_396059295,events_20241029,"This table stores events data related to user interactions with a fanbase platform, including details such as event timestamps, event names, event parameters, user IDs, and monetary values associated with events.","event_date, event_timestamp, event_name, user_id","Analyzing user engagement by tracking event timestamps and names, Calculating the monetary value generated by events, Identifying user behavior patterns based on event parameters, Linking events to specific users using user IDs",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241030,fanbase-reporting,analytics_396059295,events_20241030,"This table stores events data related to user interactions with a fanbase platform, including details such as event timestamps, event names, event parameters, user IDs, and monetary values associated with events.","event_date, event_timestamp, event_name, user_id","Analyzing user engagement by tracking event timestamps and names, Calculating the monetary value of events through the event_value_in_usd field, Identifying user behavior patterns using user IDs and pseudo IDs",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241031,fanbase-reporting,analytics_396059295,events_20241031,"This table stores events data related to user interactions with a fanbase platform, including details such as event timestamps, event names, event parameters, user IDs, and monetary values associated with events.","event_date, event_timestamp, event_name, user_id","Analyzing user engagement with the fanbase platform, Tracking user behavior over time, Calculating revenue generated from events",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241101,fanbase-reporting,analytics_396059295,events_20241101,This table stores events data related to user activities for analytics and reporting purposes.,"event_date, event_timestamp, event_name, user_id","Analyzing user behavior, Tracking event interactions, Calculating event values",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
fanbase-reporting.analytics_396059295.events_20241102,fanbase-reporting,analytics_396059295,events_20241102,This table stores events data related to user interactions with a platform or application for analytics and reporting purposes.,"event_date, event_timestamp, event_name, user_id","Analyzing user behavior and engagement based on different events, Calculating event values in USD for revenue analysis, Tracking event sequences and timestamps for user journey analysis",,30,"event_date, event_timestamp, event_name, event_params, event_previous_timestamp","STRING, INTEGER, STRING, RECORD, INTEGER",TRUE,MEDIUM,,,,,
